Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Mundo infantil,,,,Español,Chile,Santiago de Chile,Tarapaca 884,,,february 1938,02,XX,1938,,,,,,/,monthly,infantil,Supplement to mundo judio,NLI
Mundo Israelita,,,,,Chile,,,"bulletin of the Federación Sionista de Chile was published in Santiago, becoming in 1935 the weekly Mundo Judío.",Boletín,1935,XX,XX,1935,,,,,,/,,,,
Mundo judio,,,Hernán Fischman,Español,Chile,Santiago de Chile,Av. Miguel Claro 196,"Comité Representativo de las Entidades Judias de Chile, CREJ",Revista,29 julio 1994,07,29,1994,,,,,,/,biweekly,sionista,,Harvard; UCLA; HUC; NLI; Bib Nac Chile
Mundo judío,,,editor: Rafael Pliscoff; director: Marcos Levy,Español,Chile,Santiago de Chile,Serrano 202 ,Federación Sionista de Chile,Diario,3 january 1935,01,03,1935,,1978,XX,XX,1978,,weekly,sionista,published on Thursday,Harvard; LoC; Bar Ilan; HUC; Francia; Bibl Nac Chile
Mundo judío : órgano de la colectividad judía de Chile. Un periódico para toda América,Deutschsprachige Beilage,,Samuel Gleiser,"Español,Alemán",Chile,Santiago de Chile,Serrano 202  3ºpiso,Colectividad judía de Chile,Diario,july 1939,07,XX,1939,,,,,,/,weekly,,,IWO; Bib Nac Chile
Nosotras somos,,,,Español,Chile,Santiago de Chile,,Federación WIZO de Chile,,1900s,XX,XX,19XX,,,,,,/,semianual,mujeres,,UCLA; Brandeis; HUC
Nosotros,, Revista cultural general de la Colectividad Israelita de Chile ,Natalio Berman,Español,Chile,Santiago de Chile,,Colectividad israelita de Chile,Revista,may 1926,05,XX,1926,,1934,XX,XX,1934,,monthly,,fuente: Moshe Nes EL,"NYPL;  Center for Jewish History CJH (NY), Bib Nac Chile"
Noticias de Israel : servicio informativo de la Embajada de Israel,,,,,Chile,Santiago de Chile,,Embajada de Israel,,1970,XX,XX,1970,,,,,,/,,,Archivo Histórico del Judaísmo Chileno,
Noticioso diario,,,,Español,Chile,Santiago de Chile,,"Jewish Telegraphic Agency (Santiago, Chile)",,200s,XX,XX,20XX,,,,,,/,,,,Harvard
Nuestra voz,,,Isidoro Arensbung,Español,Chile,Santiago de Chile,,Unión Sionista Revisionista de Chile,Diario,May 1934,05,XX,1934,,few numbers,,,,,monthly,sionista revisionista,fuente: Moshe Nes EL,
Nuestro ideal,,,Angel Faivovich; secretario de redaccion Simon Krenovich,,Chile,,,,Revista,1919,XX,XX,1919,,,,,,/,monthly,sionista,fuente: Moshe Nes EL,
Nuestro movimiento,,,,Español,Chile,Santiago de Chile,,Poalei Tzion Organo del Poale Sión en Chile,,12 april 1945,04,12,1945,,8 november 1945 or july 1959?,,,,,monthly,sionista,fuente: Moshe Nes EL,Harvard; IWO; Bib Nac Chile
Nueva época,,La voz de la juventud israelita al servicio de la democracia,Victoria Benado,,Chile,Santiago de Chile,Serrano 202,Asociación de Jovenes Israelitas (A.J.I.),Diario,September 1941,09,XX,1941,,1946,XX,XX,1946,,bimonthly,,fuente: Moshe Nes EL; Texto en español y hebreo.,NLI; Bib Nac Chile
"Nuevo sión :
informa y esclarece",,,Marcos Levy Testa - director; Gregorio Goldenberg - editor,Español,Chile,Santiago de Chile,Casilla 409/3,Federación Sionista de Chile,Revista,1970,XX,XX,1970,,,,,,/,monthly,sionismo,,NLI
ORT : Escuela Industrial Israelita,,,,Español,Chile,Santiago de Chile,,Escuela Industrial Israelita,,1946,XX,XX,1946,,1947,XX,XX,1947,,,escolar,,Center for Jewish History CJH (NY)
Orot,,,,Español,Chile,,,frente de izquierda sionista y hashomer hatzai,,19?,XX,XX,19XX,,,,,,/,,sionista,,NLI
Palabra israelita,,,,Español,Chile,Santiago de Chile,,,,1944,XX,XX,1944,,,,,,/,,,,NLI
Panorama chileno-israeli,,,,Español,Chile,Santiago de Chile,,,,october 1953,10,XX,1953,,,,,,/,,,Archivo Histórico del Judaísmo Chileno,NLI; Bib Nac Chile
