Titulo Original,Transliteración,Titulo en Portugués,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Hamercaz,,Órgão Informativo,Efraim Bentes - director; Nissim Ovadiah - editor,Portugués,Brasil,Pará,,Centro Israelita do Pará,Boletin,Diciembre 1985,12,XX,1985,,,,,,/,irregular,Cultural,,HUC; NLI
Hebraica- gb,,,Jacob Chvaicer,Portugués,Brasil,Rio de janeiro ,"R. Laranjeiras, 346","Hebraica Sociedade Cultural, Esportiva e Recreativa",Revista,1969,XX,XX,1969,,1976,XX,XX,1976,,,Cultural,titulo anterior: Jornal de Hebraica; titulo posterior: Boletin informativo - Hebraica-Rio,NLI
Hebraica em revista,,,,Portugués,Brasil,São Paulo,,,,,,,,,,,,,,,,titulo posterior: A Hebraica,
Hebraica/rs ,,,,Portugués,Brasil,Porto Alegre,,Clube Hebraica do Rio Grande do Sul,,1990s,XX,XX,199X,,,,,,/,,,,NYPL; Harvard
"Hechalutz
",,,,Portugués,Brasil,São Paulo,,orgāo do Movimento Juvenil Hakibutz Hameuchad,,1955,XX,XX,1955,,,,,,/,,sionismo,,Harvard
Herança judaica,,revista do pensamento judaico contemporâneo,Samsão Chazan,Portugués,Brasil,São Paulo,"Rua Cacapava, 105",B'nai B'rith S.C,Revista,1969,XX,XX,1969,,,,,,/,irregular,judaica,,NLI; SRL; Bib. Nac. Brasil
Hineini,,,,Portugués,Brasil,São Paulo,"Rua Fiandeiras, 295",Comunidade Shalom,Boletin,1990?,XX,XX,1990,?,,,,,/,,,,Harvard
Informa,,,,Portugués,Brasil,São Paulo,,Associação Cemitério Israelita de São Paulo,,2000s,XX,XX,20XX,,,,,,/,,Chevra Kadisha,,Harvard
Infroma,,Um jornal do Colégio Israelita Brasileiro,,Portugués,Brasil,Porto Alegre,,Colégio Israelita Brasileiro,,,,,,,,,,,,,educación,,Harvard
Informativo,,,,Portugués,Brasil,São Paulo,,Museu Judaico de São Paulo,,2009,XX,XX,2009,,,,,,/,,cultural,,Utexas
Informativo CIB : veiculo de comunicacao do Clube Israelita Brasileiro ,,,,Portugués,Brasil,Rio de janeiro ,,Clube Israelita Brasileiro ,,2000?,XX,XX,2000,?,,,,,/,,,,Bib. Nac. Brasil
Informe ,,,,Portugués,Brasil,,,Bʾnai Bʾrith / Comissão Nacional de Direitos Humanos,Boletin,,,,,,,,,,,,,,Harvard
Informativo FIRGS,,informativo da Federação Israelita do Rio Grande do Sul,,Español,Brasil,Porto Alegre,,Federação Israelita do Rio Grande do Sul,,sept. 2003,09,XX,2003,,,,,,/,,,,Harvard; UCLA
Informe Mensal A.HJ.B,,,Samuel Belk,Portugués,Brasil,São Paulo,,Arquivo Histórico Judaico Brasileiro ,Boletin,agosto 2009,08,XX,2009,,,,,,/,,,,Bib. Nac. Brasil
Informe Na'amat Brasil,,Boletim quadrimestral da Organização das Mulheres Pioneiras do Brasil-Rio de janeiro RJ,Ronita Rosenfeld - directora,Portugués,Brasil,Rio de janeiro ,"R. Fernando Osorio, 16",Organização das Mulheres do Brasil,Boletin,abril 1992,04,XX,1992,,,,,,/,irregular,sionismo,nombre anterior: Pioneira,HUC; NLI
